SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
532443,CERA SANITAR,A ,Q,3981.65,3981.65,3771.20,3877.75,3958.40,3960.95,281,688,2658987.00,
532444,T. SPIRITUAL,XT,Q,0.33,0.33,0.33,0.33,0.33,0.34,4,815,268.00,
532454,BHARTI ARTL ,A ,Q,528.40,532.00,515.10,526.00,526.00,522.85,4378,303979,159174937.00,
532455,SHALIMAR WIR,X ,Q,4.56,4.56,4.37,4.37,4.37,4.59,19,5264,23083.00,
532456,COMPUAGE INF,B ,Q,18.00,18.50,16.80,17.10,17.30,17.75,484,42264,744573.00,
532457,GULSHAN POLY,B ,Q,94.95,96.55,92.35,93.75,93.40,94.05,2149,225638,21505943.00,
532459,FAZE3AUTO   ,X ,Q,66.00,66.00,62.00,64.25,63.40,66.20,38,3554,224453.00,
532460,PONNI SUG(ER,B ,Q,154.50,156.25,150.25,150.25,150.25,153.05,40,488,75164.00,
532461,PUNJAB NATIO,A ,Q,38.90,39.05,36.65,37.65,37.65,38.30,7708,7806333,295338043.00,
532466,ORACLE FIN  ,A ,Q,3270.00,3270.00,3055.60,3124.40,3129.00,3212.65,1354,5683,17907570.00,
532468,KAMAHOLDING ,A ,Q,5620.00,5749.95,5600.00,5624.45,5600.00,5620.45,30,48,271543.00,
532475,APTECH LTD  ,A ,Q,208.30,220.70,208.30,211.65,212.00,207.20,1118,62785,13455190.00,
532477,UNION BANK L,A ,Q,36.10,36.10,34.50,35.20,35.20,35.20,2379,717106,25141744.00,
532478,UNITED BREWA,A ,Q,1224.85,1224.85,1175.00,1190.00,1183.00,1186.65,453,9135,10839423.00,
532479,ISMT LTD    ,B ,Q,10.59,10.94,10.59,10.79,10.75,10.42,64,28859,313870.00,
532481,NOIDA-TOLL B,T ,Q,7.10,7.49,6.95,7.02,7.49,7.21,56,38684,273155.00,
532482,GRANULES (I),A ,Q,325.00,326.90,303.15,306.15,306.15,321.15,12677,285370,89100731.00,
532483,CANARA BANK ,A ,Q,152.00,154.80,143.10,145.65,145.65,150.25,9578,2088716,309105086.00,
532485,BALMER LA.IN,B ,Q,500.15,515.50,469.90,485.65,485.65,504.85,2065,81284,40954759.00,
532486,POKARNA LTD ,B ,Q,201.85,207.10,197.85,202.45,200.10,201.15,486,14980,3042373.00,
